Drug,MSSA,Enterococcus,Anaerobes,Bacteroides fragilis,Morxella/Haemophilus flu,Escherichia coli/ Klebsiella,Enterobacter/Serriatia/Citrobacter,EBSL,Psudomonas,MRSA,Penicillin-resistant pneumonae,VRE,Atypical,MDRO,Antibiotic Spectrum Index
Dicloxacillin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oxacillin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amoxicillin,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Ampicillin,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
Cephalexin,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Erythromycin,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Erythromycin,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
Metronidazole,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Penicillin,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Aztreonam,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3
Cefazolin,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Cefdinir,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Cexime,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3
Cefpodoxime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
Rifampin,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3
Azithromycin,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4
Cefprozil,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4
Ceftazidime,0,0,1,0,1,1,0,0,1,0,0,0,0,0,4
Cefuroxime,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4
Chloramphenicol,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
Clarithromycin,1,0,1,0,1,0,0,0,0,0,0,0,1,0,4
Clindamycin,1,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Piperacillin,0,1,1,0,0,1,0,0,1,0,0,0,0,0,4
Trimethoprim-sulfamethoxazole,1,0,0,0,1,1,0,0,0,1,0,0,0,0,4
Cefotaxime,1,0,1,0,1,1,0,0,0,0,1,0,0,0,5
Cefoxitin,1,0,1,1,1,1,0,0,0,0,0,0,0,0,5
Ceftriaxone,1,0,1,0,1,1,0,0,0,0,1,0,0,0,5
Colistimethate,0,0,0,0,0,1,1,1,1,0,0,0,0,1,5
Daptomycin,1,1,0,0,0,0,0,0,0,1,0,1,0,1,5
Doxycycline,1,0,0,0,1,1,0,0,0,1,0,0,1,0,5
Gentamicin,1,0,0,0,1,1,0,0,1,1,0,0,0,0,5
Minocycline,1,0,0,0,1,1,0,0,0,1,0,0,1,0,5
Telavancin,1,1,0,0,0,0,0,0,0,1,1,0,0,1,5
Tobramycin,1,0,0,0,1,1,0,0,1,1,0,0,0,0,5
Vancomycin,1,1,0,0,0,0,0,0,0,1,1,0,0,1,5
Amikacin sulfate,1,0,0,0,1,1,0,0,1,1,0,0,0,1,6
Amoxicillin-clavulanate,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6
Ampicillin-sulbactam,1,1,1,1,1,1,0,0,0,0,0,0,0,0,6
Cefepime,1,0,0,0,1,1,1,0,1,0,1,0,0,0,6
Linezolid,1,1,0,0,0,0,0,0,0,1,1,1,0,1,6
Ticarcillin-clavulanate,1,0,1,1,1,1,0,0,1,0,0,0,0,0,6
Ceftaroline,1,1,0,0,1,1,1,0,0,1,1,0,0,1,8
Ciprofloxacin,1,1,0,0,1,1,1,1,1,0,0,0,1,0,8
Piperacillin-tazobactam,1,1,1,1,1,1,1,0,1,0,0,0,0,0,8
Ertapenem,1,0,1,1,1,1,1,1,0,0,1,0,0,1,9
Levofloxacin,1,1,1,0,1,1,1,1,0,0,1,0,1,0,9
Meropenem,1,0,1,1,1,1,1,1,1,0,1,0,0,1,10
Moxifloxacin,1,1,1,1,1,1,1,0,0,1,1,0,1,0,10
Imipenem-cilastatin,1,1,1,1,1,1,1,1,1,0,1,0,0,1,11

Tigecycline,1,1,1,1,1,1,1,1,0,1,1,1,1,1,13
