region,pop2020,pop2021,pop2022
alabama,5031362,5049846,5074296
alaska,732923,734182,733583
arizona,7179943,7264877,7359197
arkansas,3014195,3028122,3045637
california,39501653,39142991,39029342
colorado,5784865,5811297,5839926
connecticut,3597362,3623355,3626205
delaware,992114,1004807,1018396
district of columbia,670868,668791,671803
florida,21589602,21828069,22244823
georgia,10729828,10788029,10912876
hawaii,1451043,1447154,1440196
idaho,1849202,1904314,1939033
illinois,12786580,12686469,12582032
indiana,6788799,6813532,6833037
iowa,3190571,3197689,3200517
kansas,2937919,2937922,2937150
kentucky,4507445,4506589,4512310
louisiana,4651664,4627098,4590241
maine,1363557,1377238,1385340
maryland,6173205,6174610,6164660
massachusetts,6995729,6989690,6981974
michigan,10069577,10037504,10034113
minnesota,5709852,5711471,5717184
mississippi,2958141,2949586,2940057
missouri,6153998,6169823,6177957
montana,1087075,1106227,1122867
nebraska,1962642,1963554,1967923
nevada,3115648,3146402,3177772
new hampshire,1378587,1387505,1395231
new jersey,9271689,9267961,9261699
new mexico,2118390,2116677,2113344
new york,20108296,19857492,19677151
north carolina,10449445,10565885,10698973
north dakota,779518,777934,779261
ohio,11797517,11764342,11756058
oklahoma,3964912,3991225,4019800
oregon,4244795,4256301,4240137
pennsylvania,12994440,13012059,12972008
rhode island,1096345,1096985,1093734
south carolina,5131848,5193266,5282634
south dakota,887799,896164,909824
tennessee,6925619,6968351,7051339
texas,29232474,29558864,30029572
utah,3283785,3339113,3380800
vermont,642893,646972,647064
virginia,8636471,8657365,8683619
washington,7724031,7740745,7785786
west virginia,1791420,1785526,1775156
wisconsin,5896271,5880101,5892539
wyoming,577605,579483,581381
puerto rico,3281557,3262693,3221789
